window_score,pass_speed,receivedPlayerId_PassLength,pressure_level_num,pressure_direction_num,pass_area_num,pass_direction_num,xT_change,opp_in_path,avg_opp_dist_to_path,angle_pass_vs_nearest_opp,human_label
0.21297887,0.60982146,13.63,0,1,2,1,0.002,0,24.74215213,67.01114952,0
0.440186986,7.178146087,13.93,1,0,1,2,-0.009,1,,98.31313871,0
0.307677124,2.795084972,12.21,1,1,1,1,0,0,,100.0079798,0
0.592266667,11.85854123,14.42,2,0,1,2,-0.003,3,14.88162554,78.69006753,0
0.4474864,6.731456009,8.49,2,0,2,2,0.002,1,16.64607139,144.4623222,0
0.931633333,7.5,14.56,2,0,2,0,0.267,1,25.36041732,164.0546041,1
0.609503434,9.100137362,20.62,2,0,1,0,0.004,1,36.58225937,24.34108994,0
0.2965,2.5,5.1,2,0,1,1,0.002,1,21.06848501,20.77225468,0
0.733791323,6.122319572,7.93,1,0,2,1,0.066,1,,,1
0.600083333,8.75,13.15,2,0,1,2,0.007,3,14.71274643,98.74616226,1
0.6335,2.5,23.35,1,0,1,0,0.037,2,13.91930855,1.735704589,1
0.6625,2.5,52.47,0,0,2,0,0.267,1,,,1
0.204569611,2.713451092,4.63,1,1,1,1,0,0,23.21566849,21.73053494,0
0.725054407,5.210176294,14.61,0,0,2,0,0.22,0,,,0
0.225283333,3.75,4.24,1,0,2,1,-0.002,0,25.03199242,153.4349488,0
0.718086329,7.603453163,15.62,0,1,2,0,0.041,3,14.06752575,64.23067238,1
0.301033333,2.5,4.24,2,0,2,1,0.004,1,18.77422869,90,0
0.201506559,2.588262369,10.26,0,0,2,1,0,0,,66.38386372,0
0.90625,6.25,15.23,2,0,2,0,0.063,1,23.11740362,156.8014095,1
0.856116667,6.25,13.04,2,0,2,2,0.047,0,21.97403378,170.3624619,1
0.426313717,5.153882032,8.06,2,0,1,2,0.005,1,12.9010019,29.7448813,1
0.128316667,1.25,6.08,0,0,2,2,0.002,0,19.68670401,156.5014343,0
0.640388348,3.535533906,11.4,0,0,2,1,0.053,0,28.68062976,124.9393102,1
0.4625,7.5,21.02,1,1,2,2,-0.005,0,46.04030144,32.58490245,0
0.6,13.80670127,24.35,2,0,1,0,-0.006,1,23.18133315,19.17900803,0
0.662083333,3.75,7,1,1,2,1,2,1,17.73380419,26.56505118,1
0.586,15,55.01,0,0,2,2,0.017,6,9.982402484,107.5685381,1
0.333691738,3.747669538,22.95,0,0,2,2,0.005,1,18.98954309,13.60038638,0
0.925,12.5,18.03,1,0,2,0,0.178,1,25.50461851,172.8749837,1
0.350513717,5.153882032,11,1,0,2,1,-0.07,0,76.9309168,85.23635831,0
0.85,17.18055478,76.45,0,0,2,0,0.135,2,,60.78846239,1
0.418238782,8.961551297,7.74,1,0,2,0,0.002,1,17.07173608,109.0889561,0
0.28654436,6.373774392,8.94,0,0,2,2,0.001,2,14.53428752,153.4349488,0
0.616500623,0.660024907,15.81,0,0,2,0,0.198,1,,,1
0.350428701,6.017148023,22.8,0,1,2,1,-0.001,0,,134.8543945,0
0.89375,8.75,17.03,1,1,2,0,0.079,0,26.59414966,153.7998852,1
0.400183333,1.25,13.42,2,0,2,1,0.005,4,9.849407334,71.56505118,0
0.6,12.56234453,25.5,2,0,1,0,-0.005,2,15.76326729,7.125016349,0
0.712673477,4.506939094,27.66,0,0,2,0,8.997,6,9.255493885,86.268603,1
0.6208,12.5,14.76,2,1,1,1,0.003,2,20.13317932,30.7354877,1
0.4686,13.97542486,10.77,1,0,0,0,0,1,26.55620371,0.818455462,0
0.663970869,8.838834765,19.72,1,0,2,2,0.021,1,23.1823258,83.59564727,1
0.767878788,0.715151515,29.15,2,0,1,1,0.255,5,,33.11631543,1
0.38125,1.25,15.62,2,0,2,2,-0.005,0,39.23401051,170.4068657,0
0.719194174,1.767766953,26.83,1,0,2,1,6.997,7,7.49469958,53.13010235,1
0.837,16.29800601,38.01,1,0,1,2,0.039,3,14.01730263,63.43494882,1
0.138716667,1.25,8.06,0,0,0,1,-0.001,4,13.16515862,50.7927965,0
0.636466446,2.429324502,9.73,2,1,2,0,0.037,2,,12.582335,1
0.53510902,7.90569415,11.66,2,0,1,1,0.004,1,20.15181758,16.92751306,1
0.624,12.56234453,22.09,2,0,2,2,0.003,3,13.44479049,174.8055711,1
0.861,13.80670127,19.7,1,0,1,0,0.042,2,21.57911,156.037511,1
0.645112069,1.804482758,33.43,0,0,2,2,0.175,4,8.28787704,71.20284283,1
0.8,5,23.43,1,0,2,1,0.131,1,21.75595605,156.3706223,1
0.925,11.31923142,19.92,1,0,2,0,0.267,0,25.01487347,125.9605172,1
0.645980384,5.153882032,3.16,1,1,2,1,0.126,2,20.38070283,161.5650512,1
0.246143477,1.845739076,20.68,0,1,1,2,-0.001,3,23.15537724,23.97290346,0
0.706166667,2.5,12.65,1,0,1,1,0.095,0,33.55891055,108.4349488,1
0.405416667,8.75,14,0,0,1,0,-0.002,1,20.07418053,90,0
0.786366667,2.5,13.04,2,0,2,1,0.11,2,28.69739548,175.6012946,1
0.083177524,0.729767638,4.27,0,1,2,1,0.001,0,28.08932109,19.23438559,0
0.410238847,2.529553885,18.63,1,0,2,1,0.009,5,,12.84211943,1
0.282821818,2.352872712,24.26,0,0,2,2,0.003,3,9.493500717,39.58905588,0
0.4865,7.5,16.28,1,0,2,1,0.003,2,15.7871449,81.17962045,0
0.525,11.25,16.03,1,1,2,0,-0.004,2,17.0064477,112.9887168,0
0.5492,10,14.04,0,0,2,2,0.014,1,22.82087391,20.03101268,1
0.525,15,30.02,1,0,2,0,-0.002,0,19.6259446,55.03925479,0
0.45,10.68000468,19.1,0,1,2,1,-0.001,2,23.18208192,58.43102887,0
0.438388348,3.535533906,18.68,2,0,2,0,-0.066,1,18.38221829,4.458995525,0
0.573533333,15,12.04,1,0,1,2,0.011,2,20.72261602,51.54629078,1
0.338277693,6.373774392,13.42,0,1,2,1,-0.001,1,24.4635622,40.23635831,0
0.185433333,2.5,9.22,0,0,2,0,-0.028,0,29.08155156,39.09385889,0
0.507466667,10.07782219,8.06,2,0,2,2,0,1,21.77850936,97.12501635,0
0.43434436,6.373774392,17.03,1,0,2,2,-0.002,3,16.43610091,139.7636417,0
0.418,15.05199322,12,0,1,2,2,0.001,0,19.41665016,23.19859051,0
0.35625,6.25,17.49,0,1,2,1,-0.003,1,24.58148607,85.60129465,0
0.492966667,7.5,11.66,2,1,2,2,-0.01,0,,13.72229713,0
0.275142699,2.36570794,25.18,0,1,1,1,0.002,0,31.26925812,132.8349709,0
0.931019662,7.603453163,14.32,2,0,1,1,0.103,0,30.81893915,102.0947571,1
0.270212655,2.808506202,40.48,0,1,2,0,-0.001,1,18.84440738,35.84829573,0
0.431067601,8.528037383,5.09,2,1,1,1,0,1,,35.0047808,0
0.41875,8.75,23.6,0,0,1,1,-0.002,4,9.865691307,27.05059701,0
0.106386469,0.420792079,7.19,0,1,2,0,-0.005,0,,90.96310692,0
0.669877124,2.795084972,17.46,0,1,2,1,0.075,0,50.26122479,78.79656513,1
0.707466667,5,8.06,1,0,2,0,0.135,0,21.78402548,172.8749837,1
0.697966667,7.5,8.06,1,0,2,0,0.041,1,21.2781911,139.1849161,1
0.525,16.25,33.24,1,0,2,0,-0.014,3,17.90141197,33.4762783,0
0.649759556,1.990382227,29.31,0,0,1,2,0.251,4,,171.4495746,1
0.674,16.65981647,19.7,0,0,1,0,0.028,0,,117.2098113,1
0.712,16.71070598,56.24,2,0,1,2,0.014,9,9.137339215,88.41415888,1
0.25155451,3.952847075,5.83,1,0,2,1,-0.033,0,24.01868432,130.6012946,0
0.328673477,4.506939094,33.54,0,0,1,1,0.002,3,10.44052424,34.69515353,0
0.257943791,2.795084972,7.28,1,0,2,2,0.002,1,19.68440413,110.9245017,0
0.376255014,3.535533906,8.54,2,0,2,1,0.003,1,,69.44395478,1
0.321483333,3.75,5.83,2,1,2,2,-0.033,1,17.85784535,120.9637565,0
0.608,11.31923142,18.97,2,0,2,2,0.001,1,27.35431336,108.4349488,0
0.469598878,3.503955132,42.17,2,1,2,2,0.004,4,21.47465892,25.01058328,1
0.057901858,0.934741006,2.59,0,0,2,0,0,0,,84.55367723,0
0.817183333,6.25,14.32,2,0,2,0,0.04,1,32.832862,88.21008939,1
0.319788835,4.79155339,22.11,0,1,2,1,-0.003,0,,42.95545625,0
0.419877124,2.795084972,17.2,2,0,2,0,-0.002,4,10.36928392,125.5376778,0
